# wavenlength / nm,    wavenumber / 10^3 cm-1, norm. transient absorption
3.507587941265592235e+02,2.850962019327687713e+01,1.548656445768272327e+00
3.517059736572107909e+02,2.843284092111119676e+01,1.543197609483179189e+00
3.526531531878623582e+02,2.835647408680019765e+01,1.562111330899294215e+00
3.536003327185139256e+02,2.828051637598591128e+01,1.557135571368642113e+00
3.545475122491654929e+02,2.820496450972781233e+01,1.587033624867709714e+00
3.554946917798170603e+02,2.812981524403100053e+01,1.637587113996799237e+00
3.564418713104686276e+02,2.805506536938187878e+01,1.672549992898930249e+00
3.573890508411201381e+02,2.798071171029123505e+01,1.731468067666108057e+00
3.583362303717717054e+02,2.790675112484456122e+01,1.761906594542947513e+00
3.592834099024232728e+02,2.783318050425949508e+01,1.815098790469722889e+00
3.602305894330748401e+02,2.775999677245022568e+01,1.856179029831938720e+00
3.611777689637264075e+02,2.768719688559877667e+01,1.835205118190833096e+00
3.621249484943779180e+02,2.761477783173299372e+01,1.872967618846435478e+00
3.630721280250294853e+02,2.754273663031115404e+01,1.851714201419669914e+00
3.640193075556810527e+02,2.747107033181304914e+01,1.809422197550474065e+00
3.649664870863326200e+02,2.739977601733746582e+01,1.827913132598523616e+00
3.659136666169841874e+02,2.732885079820585617e+01,1.806822226823949995e+00
3.668608461476356979e+02,2.725829181557222824e+01,1.823354114936745818e+00
3.678080256782873221e+02,2.718809624003896985e+01,1.835559649865857956e+00
3.687552052089388326e+02,2.711826127127871189e+01,1.817105135754817802e+00
3.697023847395903999e+02,2.704878413766187251e+01,1.864752980028519858e+00
3.706495642702419673e+02,2.697966209589002418e+01,1.901579869338644979e+00
3.715967438008935346e+02,2.691089243063478520e+01,1.882125076352254789e+00
3.725439233315451020e+02,2.684247245418229610e+01,1.927397896319533954e+00
3.734911028621966125e+02,2.677439950608302155e+01,1.934265146990608253e+00
3.744382823928481798e+02,2.670667095280693815e+01,1.901536529204244097e+00
3.753854619234997472e+02,2.663928418740391280e+01,1.898179459089020416e+00
3.763326414541513145e+02,2.657223662916920404e+01,1.881129721768498797e+00
3.772798209848028819e+02,2.650552572331401535e+01,1.827611608528969311e+00
3.782270005154543924e+02,2.643914894064100451e+01,1.816215254889534503e+00
3.791741800461059597e+02,2.637310377722460686e+01,1.788111396738913950e+00
3.801213595767575271e+02,2.630738775409622932e+01,1.746777544830985684e+00
3.810685391074090944e+02,2.624199841693404878e+01,1.704058132002702175e+00
3.820157186380606618e+02,2.617693333575747872e+01,1.659354685438667154e+00
3.829628981687122291e+02,2.611219010462615131e+01,1.600724748470772063e+00
3.839100776993637965e+02,2.604776634134335467e+01,1.522970381189995059e+00
3.848572572300153070e+02,2.598365968716385765e+01,1.459893897552418496e+00
3.858044367606668743e+02,2.591986780650602640e+01,1.357018460802413840e+00
3.867516162913184417e+02,2.585638838666819339e+01,1.258583548930517715e+00
3.876987958219700090e+02,2.579321913754915840e+01,1.164058512214142915e+00
3.886459753526215763e+02,2.573035779137277856e+01,1.080392521583257492e+00
3.895931548832730869e+02,2.566780210241661919e+01,9.679517306050143821e-01
3.905403344139246542e+02,2.560554984674446288e+01,8.698508875611909996e-01
3.914875139445762215e+02,2.554359882194281894e+01,7.731752135222774713e-01
3.924346934752277889e+02,2.548194684686114186e+01,6.522874297213706596e-01
3.933818730058793562e+02,2.542059176135587606e+01,5.559680180767163638e-01
3.943290525365308667e+02,2.535953142603814214e+01,4.578344476496400972e-01
3.952762320671824909e+02,2.529876372202507184e+01,3.787191005044343028e-01
3.962234115978340014e+02,2.523828655069473825e+01,2.734089978349297234e-01
3.971705911284855688e+02,2.517809783344451446e+01,1.782089777843874068e-01
3.981177706591371361e+02,2.511819551145296714e+01,1.215335268053729378e-01
3.990649501897887035e+02,2.505857754544508254e+01,3.883474239306818065e-02
4.000121297204402708e+02,2.499924191546086760e+01,-1.272660291562336364e-02
4.009593092510917813e+02,2.494018662062719116e+01,-8.307843669338683956e-02
4.019064887817433487e+02,2.488140967893288646e+01,-1.076685464514135909e-01
4.028536683123949160e+02,2.482290912700700503e+01,-1.674368555539968717e-01
4.038008478430464834e+02,2.476468301990020748e+01,-2.077778841033007251e-01
4.047480273736980507e+02,2.470672943086920270e+01,-2.457427631595033302e-01
4.056952069043495612e+02,2.464904645116424220e+01,-2.647895730460222419e-01
4.066423864350011854e+02,2.459163218981951005e+01,-2.709196154465338124e-01
4.075895659656526959e+02,2.453448477344656453e+01,-3.134022993359495413e-01
4.085367454963042633e+02,2.447760234603049412e+01,-3.275100788001725216e-01
4.094839250269558306e+02,2.442098306872903990e+01,-3.357211085787614735e-01
4.104311045576073980e+02,2.436462511967442168e+01,-3.248646097660269905e-01
4.113782840882589653e+02,2.430852669377792097e+01,-3.354158193170376223e-01
4.123254636189104758e+02,2.425268600253717111e+01,-3.362100684944556162e-01
4.132726431495620432e+02,2.419710127384606935e+01,-3.166008699683728889e-01
4.142198226802136105e+02,2.414177075180733212e+01,-3.069244373380677349e-01
4.151670022108651779e+02,2.408669269654758338e+01,-3.024394217575843702e-01
4.161141817415167452e+02,2.403186538403498673e+01,-2.855530648362635260e-01
4.170613612721682557e+02,2.397728710589937151e+01,-2.563506680926327941e-01
4.180085408028198231e+02,2.392295616925476409e+01,-2.305820831743221333e-01
4.189557203334713904e+02,2.386887089652437410e+01,-2.181058193766340636e-01
4.199028998641229578e+02,2.381502962526792544e+01,-1.971834613832954552e-01
4.208500793947745251e+02,2.376143070801132495e+01,-1.684344493650239416e-01
4.217972589254260356e+02,2.370807251207861555e+01,-1.353328957146090750e-01
4.227444384560776598e+02,2.365495341942619234e+01,-1.068669617921798876e-01
4.236916179867291703e+02,2.360207182647927482e+01,-9.260762776921389883e-02
4.246387975173807376e+02,2.354942614397049638e+01,-5.816959361949828461e-02
4.255859770480323050e+02,2.349701479678073213e+01,-1.647052541420125985e-02
4.265331565786838723e+02,2.344483622378198362e+01,4.382104003300632718e-03
4.274803361093354397e+02,2.339288887768238467e+01,1.681483909514697520e-02
4.284275156399868933e+02,2.334117122487325702e+01,4.285581222676051322e-02
4.293746951706385175e+02,2.328968174527817325e+01,7.376899239280222675e-02
4.303218747012900849e+02,2.323841893220405197e+01,9.184480377370778104e-02
4.312690542319416522e+02,2.318738129219417843e+01,9.714843356407444619e-02
4.322162337625932196e+02,2.313656734488315792e+01,1.061218077615031646e-01
4.331634132932447301e+02,2.308597562285381599e+01,1.099843329057410973e-01
4.341105928238963543e+02,2.303560467149589641e+01,1.317651785208367177e-01
4.350577723545478648e+02,2.298545304886670593e+01,1.367803205396169453e-01
4.360049518851994321e+02,2.293551932555346440e+01,1.172933135322665466e-01
4.369521314158509995e+02,2.288580208453753073e+01,1.263118758850586554e-01
4.378993109465025668e+02,2.283629992106035544e+01,1.412573769559645753e-01
4.388464904771541342e+02,2.278701144249116339e+01,1.365936551596257653e-01
4.397936700078056447e+02,2.273793526819637023e+01,1.331502043253331713e-01
4.407408495384572120e+02,2.268907002941065443e+01,1.174443509113999862e-01
4.416880290691087225e+02,2.264041436910971683e+01,1.064567636079224028e-01
4.426352085997603467e+02,2.259196694188464605e+01,1.161309221859256058e-01
4.435823881304119141e+02,2.254372641381792164e+01,1.197336072526556383e-01
4.445295676610633677e+02,2.249569146236097694e+01,1.086069650791084140e-01
4.454767471917150488e+02,2.244786077621332510e+01,8.651912063249636575e-02
4.464239267223665024e+02,2.240023305520327668e+01,9.331755302534197605e-02
4.473711062530181266e+02,2.235280701017006422e+01,8.339942291969060228e-02
4.483182857836697508e+02,2.230558136284758319e+01,8.164712226200199208e-02
4.492654653143212045e+02,2.225855484574952570e+01,7.501490323027321105e-02
4.502126448449728287e+02,2.221172620205596715e+01,5.306095127955465923e-02
4.511598243756243392e+02,2.216509418550143451e+01,4.756995712151832617e-02
4.521070039062759065e+02,2.211865756026432095e+01,4.929950187175913962e-02
4.530541834369274170e+02,2.207241510085771807e+01,4.645298058710404382e-02
4.540013629675790412e+02,2.202636559202161592e+01,2.642264945191880390e-02
4.549485424982306085e+02,2.198050782861644592e+01,6.015670174440799350e-03
4.558957220288821190e+02,2.193484061551793829e+01,-6.427262003055849403e-03
4.568429015595337432e+02,2.188936276751329757e+01,-5.945346074474208709e-03
4.577900810901852537e+02,2.184407310919868195e+01,-1.772871332223475288e-02
4.587372606208368211e+02,2.179897047487792250e+01,-3.218242310297227127e-02
4.596844401514883316e+02,2.175405370846251429e+01,-4.984817200474738613e-02
4.606316196821398989e+02,2.170932166337284386e+01,-6.791590040332314004e-02
4.615787992127915800e+02,2.166477320244060678e+01,-7.419030459923178777e-02
4.625259787434430905e+02,2.162040719781248299e+01,-6.688495121952438283e-02
4.634731582740946010e+02,2.157622253085490271e+01,-8.460441800576876115e-02
4.644203378047461683e+02,2.153221809206005943e+01,-1.089806753620342766e-01
4.653675173353976220e+02,2.148839278095304550e+01,-1.160869070251434598e-01
4.663146968660493030e+02,2.144474550600007845e+01,-1.291423631131098648e-01
4.672618763967008135e+02,2.140127518451793520e+01,-1.342207813283128881e-01
4.682090559273523240e+02,2.135798074258437040e+01,-1.566676915005733861e-01
4.691562354580038914e+02,2.131486111494971425e+01,-1.632667511300046892e-01
4.701034149886555156e+02,2.127191524494949348e+01,-1.831823347530265322e-01
4.710505945193070829e+02,2.122914208441812534e+01,-1.911152464805671303e-01
4.719977740499585934e+02,2.118654059360362751e+01,-2.081237177584987774e-01
4.729449535806101608e+02,2.114410974108336561e+01,-2.169081062799839144e-01
4.738921331112617281e+02,2.110184850368084142e+01,-2.349829666471227041e-01
4.748393126419132386e+02,2.105975586638341213e+01,-2.458070955281413117e-01
4.757864921725648628e+02,2.101783082226105037e+01,-2.598040166781767080e-01
4.767336717032163733e+02,2.097607237238605293e+01,-2.950199641616937374e-01
4.776808512338680544e+02,2.093447952575368021e+01,-3.222435943161428007e-01
4.786280307645195080e+02,2.089305129920379756e+01,-3.230194559396220022e-01
4.795752102951710754e+02,2.085178671734336575e+01,-3.460413328010640832e-01
4.805223898258225859e+02,2.081068481246992619e+01,-3.601945173823593582e-01
4.814695693564742101e+02,2.076974462449592806e+01,-3.864068414945884822e-01
4.824167488871257774e+02,2.072896520087399708e+01,-4.239628982898004939e-01
4.833639284177772879e+02,2.068834559652303895e+01,-4.563414433562478778e-01
4.843111079484289121e+02,2.064788487375522763e+01,-4.641696282355841641e-01
4.852582874790804226e+02,2.060758210220387454e+01,-4.969055990529760436e-01
4.862054670097319899e+02,2.056743635875208653e+01,-5.120100676844289156e-01
4.871526465403835005e+02,2.052744672746231203e+01,-5.460260919330026663e-01
4.880998260710350678e+02,2.048761229950666163e+01,-5.859246169348304445e-01
4.890470056016866920e+02,2.044793217309806721e+01,-6.156184780036071391e-01
4.899941851323382025e+02,2.040840545342224388e+01,-6.452924731885406606e-01
4.909413646629897130e+02,2.036903125257040159e+01,-6.805729233162859382e-01
4.918885441936413372e+02,2.032980868947277031e+01,-7.017400059215833652e-01
4.928357237242928477e+02,2.029073688983289259e+01,-7.157906533813702676e-01
4.937829032549444719e+02,2.025181498606263375e+01,-7.441754522680060768e-01
4.947300827855959824e+02,2.021304211721800215e+01,-7.728193735763690952e-01
4.956772623162476066e+02,2.017441742893562306e+01,-8.122675960773770854e-01
4.966244418468991171e+02,2.013594007337002978e+01,-8.267301798382965528e-01
4.975716213775506844e+02,2.009760920913159055e+01,-8.305936090892190871e-01
4.985188009082021949e+02,2.005942400122520297e+01,-8.339303420246962917e-01
4.994659804388537623e+02,2.002138362098964208e+01,-8.425924677156872988e-01
5.004131599695053296e+02,1.998348724603763316e+01,-8.559437986658094966e-01
5.013603395001569538e+02,1.994573406019657824e+01,-8.825229922358653889e-01
5.023075190308084643e+02,1.990812325344996836e+01,-8.837649617946347069e-01
5.032546985614600317e+02,1.987065402187943874e+01,-8.838768297003201102e-01
5.042018780921114853e+02,1.983332556760750975e+01,-8.738500613422367502e-01
5.051490576227631095e+02,1.979613709874092820e+01,-8.642941714707254031e-01
5.060962371534147337e+02,1.975908782931469432e+01,-8.550146031175007710e-01
5.070434166840662442e+02,1.972217697923667501e+01,-8.568265825690536408e-01
5.079905962147178116e+02,1.968540377423284582e+01,-8.668962196713637658e-01
5.089377757453693789e+02,1.964876744579317247e+01,-8.518648846250210793e-01
5.098849552760209463e+02,1.961226723111805370e+01,-8.380484300424998478e-01
5.108321348066724568e+02,1.957590237306539294e+01,-8.161475348392119855e-01
5.117793143373240810e+02,1.953967212009823129e+01,-7.987357040514269091e-01
5.127264938679755915e+02,1.950357572623299518e+01,-7.815031464290078667e-01
5.136736733986272156e+02,1.946761245098827686e+01,-7.759032994359359448e-01
5.146208529292787262e+02,1.943178155933420825e+01,-7.730532095725469732e-01
5.155680324599302367e+02,1.939608232164238544e+01,-7.677391655593180930e-01
5.165152119905818608e+02,1.936051401363632962e+01,-7.497694824509271161e-01
5.174623915212333713e+02,1.932507591634253785e+01,-7.341524082021902986e-01
5.184095710518849955e+02,1.928976731604199202e+01,-7.280225219743231557e-01
5.193567505825365060e+02,1.925458750422228960e+01,-6.982064213650963636e-01
5.203039301131880165e+02,1.921953577753021847e+01,nan
5.212511096438396407e+02,1.918461143772489663e+01,nan
5.221982891744911512e+02,1.914981379163141284e+01,nan
5.231454687051427754e+02,1.911514215109495396e+01,nan
5.240926482357942859e+02,1.908059583293544748e+01,nan
5.250398277664457964e+02,1.904617415890269072e+01,nan
5.259870072970974206e+02,1.901187645563195616e+01,nan
5.269341868277489311e+02,1.897770205460009407e+01,nan
5.278813663584005553e+02,1.894365029208207574e+01,nan
5.288285458890520658e+02,1.890972050910805891e+01,nan
5.297757254197035763e+02,1.887591205142084050e+01,nan
5.307229049503552005e+02,1.884222426943381734e+01,nan
5.316700844810067110e+02,1.880865651818940876e+01,nan
5.326172640116583352e+02,1.877520815731784509e+01,nan
5.335644435423098457e+02,1.874187855099649980e+01,nan
5.345116230729613562e+02,1.870866706790955902e+01,nan
5.354588026036129804e+02,1.867557308120818149e+01,nan
5.364059821342646046e+02,1.864259596847105982e+01,nan
5.373531616649161151e+02,1.860973511166539396e+01,nan
5.383003411955676256e+02,1.857698989710828030e+01,nan
5.392475207262192498e+02,1.854435971542850936e+01,nan
5.401947002568707603e+02,1.851184396152877554e+01,nan
5.411418797875223845e+02,1.847944203454825640e+01,nan
5.420890593181738950e+02,1.844715333782561473e+01,nan
5.430362388488254055e+02,1.841497727886237357e+01,nan
5.439834183794770297e+02,1.838291326928665015e+01,nan
5.449305979101285402e+02,1.835096072481734097e+01,nan
5.458777774407801644e+02,1.831911906522858047e+01,nan
5.468249569714316749e+02,1.828738771431465437e+01,nan
5.477721365020831854e+02,1.825576609985522580e+01,nan
5.487193160327348096e+02,1.822425365358093785e+01,nan
5.496664955633863201e+02,1.819284981113938571e+01,nan
5.506136750940379443e+02,1.816155401206140496e+01,-3.723792777861454906e-01
